NAME,BEGIN,END,KWH_PERIOD
1143BR,01/11/2021,30/11/2021,2 219
0417KO,01/01/2019,31/01/2019,2 647
0417KO,01/02/2019,28/02/2019,2 343
0417KO,01/03/2019,31/03/2019,2 575
0417KO,01/04/2019,30/04/2019,2 490
0417KO,01/05/2019,31/05/2019,2 599
0417KO,01/06/2019,30/06/2019,2 599
0417KO,01/07/2019,31/07/2019,2 653
0417KO,01/08/2019,31/08/2019,2 680
0417KO,01/09/2019,30/09/2019,2 529
0417KO,01/10/2019,31/10/2019,2 600
0417KO,01/11/2019,30/11/2019,2 494
0417KO,01/12/2019,31/12/2019,2 589
0417KO,01/01/2020,31/01/2020,2 595
0417KO,01/02/2020,29/02/2020,2 417
0417KO,01/03/2020,31/03/2020,2 593
0417KO,01/04/2020,30/04/2020,2 518
0417KO,01/05/2020,31/05/2020,2 601
0417KO,01/06/2020,30/06/2020,2 562
0417KO,01/07/2020,31/07/2020,2 670
0417KO,01/08/2020,31/08/2020,2 699
0417KO,01/09/2020,30/09/2020,2 533
0417KO,01/10/2020,31/10/2020,2 409
0417KO,01/11/2020,30/11/2020,2 435
0417KO,01/12/2020,31/12/2020,2 540
0417KO,01/01/2021,31/01/2021,2 582
0417KO,01/02/2021,28/02/2021,2 341
0417KO,01/03/2021,31/03/2021,2 506
0417KO,01/04/2021,30/04/2021,2 396
0417KO,01/05/2021,31/05/2021,2 444
0417KO,01/06/2021,30/06/2021,2 394
0417KO,01/07/2021,31/07/2021,2 707
0417KO,01/08/2021,31/08/2021,2 187
0417KO,01/09/2021,30/09/2021,2 090
0417KO,01/10/2021,31/10/2021,2 412
0417KO,01/11/2021,30/11/2021,2 322
0484BB,01/01/2019,31/01/2019,2 192
0484BB,01/02/2019,28/02/2019,1 982
0484BB,01/03/2019,31/03/2019,2 185
0484BB,01/04/2019,30/04/2019,2 123
0484BB,01/05/2019,31/05/2019,2 199
0484BB,01/06/2019,30/06/2019,2 188
0484BB,01/07/2019,31/07/2019,2 238
0484BB,01/08/2019,31/08/2019,2 261
0484BB,01/09/2019,30/09/2019,2 138
0484BB,01/10/2019,31/10/2019,2 200
0484BB,01/11/2019,30/11/2019,2 120
0484BB,01/12/2019,31/12/2019,2 271
0484BB,01/01/2020,31/01/2020,2 279
0484BB,01/02/2020,29/02/2020,2 137
0484BB,01/03/2020,31/03/2020,2 284
0484BB,01/04/2020,30/04/2020,2 229
0484BB,01/05/2020,31/05/2020,2 320
0484BB,01/06/2020,30/06/2020,2 281
0484BB,01/07/2020,31/07/2020,2 372
0484BB,01/08/2020,31/08/2020,2 364
0484BB,01/09/2020,30/09/2020,2 261
0484BB,01/10/2020,31/10/2020,2 322
0484BB,01/11/2020,30/11/2020,2 242
0484BB,01/12/2020,31/12/2020,2 282
0484BB,01/01/2021,31/01/2021,2 448
0484BB,01/02/2021,28/02/2021,2 305
0484BB,01/03/2021,31/03/2021,2 503
0484BB,01/04/2021,30/04/2021,2 388
0484BB,01/05/2021,31/05/2021,2 416
0484BB,01/06/2021,30/06/2021,2 489
0484BB,01/07/2021,31/07/2021,2 568
0484BB,01/08/2021,31/08/2021,2 556
0484BB,01/09/2021,30/09/2021,2 447
0484BB,01/10/2021,31/10/2021,2 514
0484BB,01/11/2021,30/11/2021,2 411
0486BB,01/01/2019,31/01/2019,2 594
0486BB,01/02/2019,28/02/2019,2 413
0486BB,01/03/2019,31/03/2019,2 673
0486BB,01/04/2019,30/04/2019,2 581
0486BB,01/05/2019,31/05/2019,2 666
0486BB,01/06/2019,30/06/2019,2 651
0486BB,01/07/2019,31/07/2019,2 709
0486BB,01/08/2019,31/08/2019,2 707
0486BB,01/09/2019,30/09/2019,2 562
0486BB,01/10/2019,31/10/2019,2 646
0486BB,01/11/2019,30/11/2019,2 545
0486BB,01/12/2019,31/12/2019,2 613
0486BB,01/01/2020,31/01/2020,2 616
0486BB,01/02/2020,29/02/2020,2 463
0486BB,01/03/2020,31/03/2020,2 623
0486BB,01/04/2020,30/04/2020,2 621
0486BB,01/05/2020,31/05/2020,2 713
0486BB,01/06/2020,30/06/2020,2 670
0486BB,01/07/2020,31/07/2020,2 816
0486BB,01/08/2020,31/08/2020,2 876
0486BB,01/09/2020,30/09/2020,2 739
0486BB,01/10/2020,31/10/2020,2 798
0486BB,01/11/2020,30/11/2020,2 673
0486BB,01/12/2020,31/12/2020,2 736
0486BB,01/01/2021,31/01/2021,2 735
0486BB,01/02/2021,28/02/2021,2 501
0486BB,01/03/2021,31/03/2021,2 816
0486BB,01/04/2021,30/04/2021,2 727
0486BB,01/05/2021,31/05/2021,2 747
0486BB,01/06/2021,30/06/2021,2 738
0486BB,01/07/2021,31/07/2021,2 833
0486BB,01/08/2021,31/08/2021,2 815
0486BB,01/09/2021,30/09/2021,2 714
0486BB,01/10/2021,31/10/2021,2 768
0486BB,01/11/2021,30/11/2021,2 631
0489BB,01/01/2019,31/01/2019,2 131
0489BB,01/02/2019,28/02/2019,1 897
0489BB,01/03/2019,31/03/2019,2 091
0489BB,01/04/2019,30/04/2019,2 036
0489BB,01/05/2019,31/05/2019,2 104
0489BB,01/06/2019,30/06/2019,2 127
0489BB,01/07/2019,31/07/2019,2 153
0489BB,01/08/2019,31/08/2019,2 165
0489BB,01/09/2019,30/09/2019,2 043
0489BB,01/10/2019,31/10/2019,2 105
0489BB,01/11/2019,30/11/2019,2 019
0489BB,01/12/2019,31/12/2019,2 080
0489BB,01/01/2020,31/01/2020,2 100
0489BB,01/02/2020,29/02/2020,1 945
0489BB,01/03/2020,31/03/2020,2 098
0489BB,01/04/2020,30/04/2020,2 305
0489BB,01/05/2020,31/05/2020,2 524
0489BB,01/06/2020,30/06/2020,2 588
0489BB,01/07/2020,31/07/2020,2 711
0489BB,01/08/2020,31/08/2020,2 737
0489BB,01/09/2020,30/09/2020,2 628
0489BB,01/10/2020,31/10/2020,2 705
0489BB,01/11/2020,30/11/2020,2 592
0489BB,01/12/2020,31/12/2020,2 680
0489BB,01/01/2021,31/01/2021,2 671
0489BB,01/02/2021,28/02/2021,2 410
0489BB,01/03/2021,31/03/2021,2 668
0489BB,01/04/2021,30/04/2021,2 577
0489BB,01/05/2021,31/05/2021,2 610
0489BB,01/06/2021,30/06/2021,2 586
0489BB,01/07/2021,31/07/2021,2 693
0489BB,01/08/2021,31/08/2021,2 656
0489BB,01/09/2021,30/09/2021,2 548
0489BB,01/10/2021,31/10/2021,2 600
0489BB,01/11/2021,30/11/2021,2 490
0490BB,01/01/2019,31/01/2019,2 135
0490BB,01/02/2019,28/02/2019,1 933
0490BB,01/03/2019,31/03/2019,2 140
0490BB,01/04/2019,30/04/2019,2 083
0490BB,01/05/2019,31/05/2019,2 154
0490BB,01/06/2019,30/06/2019,2 161
0490BB,01/07/2019,31/07/2019,2 200
0490BB,01/08/2019,31/08/2019,2 210
0490BB,01/09/2019,30/09/2019,2 000
0490BB,01/10/2019,31/10/2019,2 116
0490BB,01/11/2019,30/11/2019,2 371
0490BB,01/12/2019,31/12/2019,2 590
0490BB,01/01/2020,31/01/2020,2 584
0490BB,01/02/2020,29/02/2020,2 330
0490BB,01/03/2020,31/03/2020,2 567
0490BB,01/04/2020,30/04/2020,2 523
0490BB,01/05/2020,31/05/2020,2 613
0490BB,01/06/2020,30/06/2020,2 619
0490BB,01/07/2020,31/07/2020,2 700
0490BB,01/08/2020,31/08/2020,2 767
0490BB,01/09/2020,30/09/2020,2 625
0490BB,01/10/2020,31/10/2020,2 686
0490BB,01/11/2020,30/11/2020,2 584
0490BB,01/12/2020,31/12/2020,2 657
0490BB,01/01/2021,31/01/2021,2 643
0490BB,01/02/2021,28/02/2021,2 405
0490BB,01/03/2021,31/03/2021,2 692
0490BB,01/04/2021,30/04/2021,2 605
0490BB,01/05/2021,31/05/2021,2 603
0490BB,01/06/2021,30/06/2021,2 605
0490BB,01/07/2021,31/07/2021,2 696
0490BB,01/08/2021,31/08/2021,2 651
0490BB,01/09/2021,30/09/2021,2 538
0490BB,01/10/2021,31/10/2021,2 574
0490BB,01/11/2021,30/11/2021,2 425
0487BB,01/01/2019,31/01/2019,2 034
0487BB,01/02/2019,28/02/2019,1 814
0487BB,01/03/2019,31/03/2019,2 018
0487BB,01/04/2019,30/04/2019,1 964
0487BB,01/05/2019,31/05/2019,2 033
0487BB,01/06/2019,30/06/2019,2 042
0487BB,01/07/2019,31/07/2019,2 094
0487BB,01/08/2019,31/08/2019,2 080
0487BB,01/09/2019,30/09/2019,2 217
0487BB,01/10/2019,31/10/2019,2 362
0487BB,01/11/2019,30/11/2019,2 400
0487BB,01/12/2019,31/12/2019,2 488
0487BB,01/01/2020,31/01/2020,2 494
0487BB,01/02/2020,29/02/2020,2 324
0487BB,01/03/2020,31/03/2020,2 565
0487BB,01/04/2020,30/04/2020,2 441
0487BB,01/05/2020,31/05/2020,2 515
0487BB,01/06/2020,30/06/2020,2 454
0487BB,01/07/2020,31/07/2020,2 585
0487BB,01/08/2020,31/08/2020,2 638
0487BB,01/09/2020,30/09/2020,2 523
0487BB,01/10/2020,31/10/2020,2 591
0487BB,01/11/2020,30/11/2020,2 518
0487BB,01/12/2020,31/12/2020,2 569
0487BB,01/01/2021,31/01/2021,2 591
0487BB,01/02/2021,28/02/2021,2 371
0487BB,01/03/2021,31/03/2021,2 637
0487BB,01/04/2021,30/04/2021,2 534
0487BB,01/05/2021,31/05/2021,2 551
0487BB,01/06/2021,30/06/2021,2 513
0487BB,01/07/2021,31/07/2021,2 613
0487BB,01/08/2021,31/08/2021,2 577
0487BB,01/09/2021,30/09/2021,2 468
0487BB,01/10/2021,31/10/2021,2 516
0487BB,01/11/2021,30/11/2021,2 404
0719BR,01/01/2019,31/01/2019,1 792
0719BR,01/02/2019,28/02/2019,1 589
0719BR,01/03/2019,31/03/2019,1 716
0719BR,01/04/2019,30/04/2019,1 666
0719BR,01/05/2019,31/05/2019,1 731
0719BR,01/06/2019,30/06/2019,1 762
0719BR,01/07/2019,31/07/2019,1 791
0719BR,01/08/2019,31/08/2019,1 793
0719BR,01/09/2019,30/09/2019,1 679
0719BR,01/10/2019,31/10/2019,1 732
0719BR,01/11/2019,30/11/2019,1 666
0719BR,01/12/2019,31/12/2019,1 741
0719BR,01/01/2020,31/01/2020,1 747
0719BR,01/02/2020,29/02/2020,1 603
0719BR,01/03/2020,31/03/2020,1 726
0719BR,01/04/2020,30/04/2020,1 675
0719BR,01/05/2020,31/05/2020,1 684
0719BR,01/06/2020,30/06/2020,1 535
0719BR,01/07/2020,31/07/2020,1 480
0719BR,01/08/2020,31/08/2020,1 490
0719BR,01/09/2020,30/09/2020,1 435
0719BR,01/10/2020,31/10/2020,1 476
0719BR,01/11/2020,30/11/2020,1 403
0719BR,01/12/2020,31/12/2020,1 426
0719BR,01/01/2021,31/01/2021,1 439
0719BR,01/02/2021,28/02/2021,1 308
0719BR,01/03/2021,31/03/2021,1 415
0719BR,01/04/2021,30/04/2021,1 351
0719BR,01/05/2021,31/05/2021,1 385
0719BR,01/06/2021,30/06/2021,1 371
0719BR,01/07/2021,31/07/2021,1 425
0719BR,01/08/2021,31/08/2021,1 412
0719BR,01/09/2021,30/09/2021,1 368
0719BR,01/10/2021,31/10/2021,1 533
0719BR,01/11/2021,30/11/2021,1 468
0494BB,01/01/2019,31/01/2019,2 289
0494BB,01/02/2019,28/02/2019,2 104
0494BB,01/03/2019,31/03/2019,2 318
0494BB,01/04/2019,30/04/2019,2 355
0494BB,01/05/2019,31/05/2019,2 440
0494BB,01/06/2019,30/06/2019,2 532
0494BB,01/07/2019,31/07/2019,2 567
0494BB,01/08/2019,31/08/2019,2 570
0494BB,01/09/2019,30/09/2019,2 386
0494BB,01/10/2019,31/10/2019,2 470
0494BB,01/11/2019,30/11/2019,2 448
0494BB,01/12/2019,31/12/2019,2 649
0494BB,01/01/2020,31/01/2020,2 639
0494BB,01/02/2020,29/02/2020,2 418
0494BB,01/03/2020,31/03/2020,2 516
0494BB,01/04/2020,30/04/2020,2 443
0494BB,01/05/2020,31/05/2020,2 523
0494BB,01/06/2020,30/06/2020,2 513
0494BB,01/07/2020,31/07/2020,2 598
0494BB,01/08/2020,31/08/2020,2 625
0494BB,01/09/2020,30/09/2020,2 482
0494BB,01/10/2020,31/10/2020,2 533
0494BB,01/11/2020,30/11/2020,2 434
0494BB,01/12/2020,31/12/2020,2 495
0494BB,01/01/2021,31/01/2021,2 488
0494BB,01/02/2021,28/02/2021,2 263
0494BB,01/03/2021,31/03/2021,2 524
0494BB,01/04/2021,30/04/2021,2 437
0494BB,01/05/2021,31/05/2021,2 472
0494BB,01/06/2021,30/06/2021,2 607
0494BB,01/07/2021,31/07/2021,2 696
0494BB,01/08/2021,31/08/2021,2 670
0494BB,01/09/2021,30/09/2021,2 559
0494BB,01/10/2021,31/10/2021,2 584
0494BB,01/11/2021,30/11/2021,2 469
0496BB,01/01/2019,31/01/2019,1 001
0496BB,01/02/2019,28/02/2019,902
0496BB,01/03/2019,31/03/2019,998
0496BB,01/04/2019,30/04/2019,1 004
0496BB,01/05/2019,31/05/2019,1 396
0496BB,01/06/2019,30/06/2019,1 395
0496BB,01/07/2019,31/07/2019,1 437
0496BB,01/08/2019,31/08/2019,1 441
0496BB,01/09/2019,30/09/2019,1 370
0496BB,01/10/2019,31/10/2019,1 422
0496BB,01/11/2019,30/11/2019,1 369
0496BB,01/12/2019,31/12/2019,1 410
0496BB,01/01/2020,31/01/2020,1 416
0496BB,01/02/2020,29/02/2020,1 320
0496BB,01/03/2020,31/03/2020,1 422
0496BB,01/04/2020,30/04/2020,1 388
0496BB,01/05/2020,31/05/2020,1 437
0496BB,01/06/2020,30/06/2020,1 403
0496BB,01/07/2020,31/07/2020,1 451
0496BB,01/08/2020,31/08/2020,1 458
0496BB,01/09/2020,30/09/2020,1 390
0496BB,01/10/2020,31/10/2020,1 434
0496BB,01/11/2020,30/11/2020,1 387
0496BB,01/12/2020,31/12/2020,1 428
0496BB,01/01/2021,31/01/2021,1 427
0496BB,01/02/2021,28/02/2021,1 285
0496BB,01/03/2021,31/03/2021,1 430
0496BB,01/04/2021,30/04/2021,1 373
0496BB,01/05/2021,31/05/2021,1 410
0496BB,01/06/2021,30/06/2021,1 403
0496BB,01/07/2021,31/07/2021,1 459
0496BB,01/08/2021,31/08/2021,1 441
0496BB,01/09/2021,30/09/2021,1 367
0496BB,01/10/2021,31/10/2021,1 391
0496BB,01/11/2021,30/11/2021,1 348
1001BB,01/01/2019,31/01/2019,6 013
1001BB,01/02/2019,28/02/2019,5 246
1001BB,01/03/2019,31/03/2019,5 774
1001BB,01/04/2019,30/04/2019,5 658
1001BB,01/05/2019,31/05/2019,5 870
1001BB,01/06/2019,30/06/2019,6 006
1001BB,01/07/2019,31/07/2019,6 295
1001BB,01/08/2019,31/08/2019,6 317
1001BB,01/09/2019,30/09/2019,6 036
1001BB,01/10/2019,31/10/2019,6 202
1001BB,01/11/2019,30/11/2019,5 962
1001BB,01/12/2019,31/12/2019,6 184
1001BB,01/01/2020,31/01/2020,6 236
1001BB,01/02/2020,29/02/2020,5 779
1001BB,01/03/2020,31/03/2020,6 364
1001BB,01/04/2020,30/04/2020,6 167
1001BB,01/05/2020,31/05/2020,6 343
1001BB,01/06/2020,30/06/2020,6 209
1001BB,01/07/2020,31/07/2020,6 472
1001BB,01/08/2020,31/08/2020,6 524
1001BB,01/09/2020,30/09/2020,6 236
1001BB,01/10/2020,31/10/2020,6 425
1001BB,01/11/2020,30/11/2020,6 186
1001BB,01/12/2020,31/12/2020,6 405
1001BB,01/01/2021,31/01/2021,6 514
1001BB,01/02/2021,28/02/2021,5 855
1001BB,01/03/2021,31/03/2021,6 376
1001BB,01/04/2021,30/04/2021,6 203
1001BB,01/05/2021,31/05/2021,6 379
1001BB,01/06/2021,30/06/2021,6 296
1001BB,01/07/2021,31/07/2021,6 494
1001BB,01/08/2021,31/08/2021,6 425
1001BB,01/09/2021,30/09/2021,6 288
1001BB,01/10/2021,31/10/2021,6 427
1001BB,01/11/2021,30/11/2021,6 148
1004BB,01/01/2019,31/01/2019,2 009
1004BB,01/02/2019,28/02/2019,1 705
1004BB,01/03/2019,31/03/2019,1 861
1004BB,01/04/2019,30/04/2019,1 752
1004BB,01/05/2019,31/05/2019,1 865
1004BB,01/06/2019,30/06/2019,1 785
1004BB,01/07/2019,31/07/2019,1 839
1004BB,01/08/2019,31/08/2019,1 856
1004BB,01/09/2019,30/09/2019,1 783
1004BB,01/10/2019,31/10/2019,1 894
1004BB,01/11/2019,30/11/2019,1 901
1004BB,01/12/2019,31/12/2019,1 963
1004BB,01/01/2020,31/01/2020,1 965
1004BB,01/02/2020,29/02/2020,1 848
1004BB,01/03/2020,31/03/2020,2 006
1004BB,01/04/2020,30/04/2020,1 980
1004BB,01/05/2020,31/05/2020,2 030
1004BB,01/06/2020,30/06/2020,1 992
1004BB,01/07/2020,31/07/2020,2 073
1004BB,01/08/2020,31/08/2020,2 081
1004BB,01/09/2020,30/09/2020,1 962
1004BB,01/10/2020,31/10/2020,2 005
1004BB,01/11/2020,30/11/2020,1 895
1004BB,01/12/2020,31/12/2020,1 949
1004BB,01/01/2021,31/01/2021,1 934
1004BB,01/02/2021,28/02/2021,1 750
1004BB,01/03/2021,31/03/2021,1 934
1004BB,01/04/2021,30/04/2021,1 866
1004BB,01/05/2021,31/05/2021,1 912
1004BB,01/06/2021,30/06/2021,1 928
1004BB,01/07/2021,31/07/2021,1 981
1004BB,01/08/2021,31/08/2021,1 943
1004BB,01/09/2021,30/09/2021,1 992
1004BB,01/10/2021,31/10/2021,2 104
1004BB,01/11/2021,30/11/2021,1 958
0495BB,01/01/2019,31/01/2019,2 004
0495BB,01/02/2019,28/02/2019,1 819
0495BB,01/03/2019,31/03/2019,1 904
0495BB,01/04/2019,30/04/2019,1 837
0495BB,01/05/2019,31/05/2019,2 205
0495BB,01/06/2019,30/06/2019,2 142
0495BB,01/07/2019,31/07/2019,2 188
0495BB,01/08/2019,31/08/2019,2 202
0495BB,01/09/2019,30/09/2019,2 086
0495BB,01/10/2019,31/10/2019,2 148
0495BB,01/11/2019,30/11/2019,2 053
0495BB,01/12/2019,31/12/2019,2 066
0495BB,01/01/2020,31/01/2020,2 071
0495BB,01/02/2020,29/02/2020,1 930
0495BB,01/03/2020,31/03/2020,2 043
0495BB,01/04/2020,30/04/2020,1 982
0495BB,01/05/2020,31/05/2020,2 060
0495BB,01/06/2020,30/06/2020,2 043
0495BB,01/07/2020,31/07/2020,2 141
0495BB,01/08/2020,31/08/2020,2 152
0495BB,01/09/2020,30/09/2020,2 026
0495BB,01/10/2020,31/10/2020,2 059
0495BB,01/11/2020,30/11/2020,1 958
0495BB,01/12/2020,31/12/2020,1 996
0495BB,01/01/2021,31/01/2021,1 999
0495BB,01/02/2021,28/02/2021,1 833
0495BB,01/03/2021,31/03/2021,2 048
0495BB,01/04/2021,30/04/2021,1 964
0495BB,01/05/2021,31/05/2021,2 007
0495BB,01/06/2021,30/06/2021,2 075
0495BB,01/07/2021,31/07/2021,2 158
0495BB,01/08/2021,31/08/2021,2 091
0495BB,01/09/2021,30/09/2021,2 003
0495BB,01/10/2021,31/10/2021,2 026
0495BB,01/11/2021,30/11/2021,1 933
1034BB,01/01/2019,31/01/2019,2 612
1034BB,01/02/2019,28/02/2019,2 371
1034BB,01/03/2019,31/03/2019,2 639
1034BB,01/04/2019,30/04/2019,2 566
1034BB,01/05/2019,31/05/2019,2 549
1034BB,01/06/2019,30/06/2019,2 240
1034BB,01/07/2019,31/07/2019,2 309
1034BB,01/08/2019,31/08/2019,2 310
1034BB,01/09/2019,30/09/2019,2 210
1034BB,01/10/2019,31/10/2019,2 278
1034BB,01/11/2019,30/11/2019,2 740
1034BB,01/12/2019,31/12/2019,3 206
1034BB,01/01/2020,31/01/2020,3 226
1034BB,01/02/2020,29/02/2020,2 978
1034BB,01/03/2020,31/03/2020,3 198
1034BB,01/04/2020,30/04/2020,3 107
1034BB,01/05/2020,31/05/2020,3 206
1034BB,01/06/2020,30/06/2020,3 121
1034BB,01/07/2020,31/07/2020,3 236
1034BB,01/08/2020,31/08/2020,3 237
1034BB,01/09/2020,30/09/2020,3 107
1034BB,01/10/2020,31/10/2020,3 177
1034BB,01/11/2020,30/11/2020,3 252
1034BB,01/12/2020,31/12/2020,3 158
1034BB,01/01/2021,31/01/2021,3 199
1034BB,01/02/2021,28/02/2021,2 867
1034BB,01/03/2021,31/03/2021,3 116
1034BB,01/04/2021,30/04/2021,3 009
1034BB,01/05/2021,31/05/2021,3 107
1034BB,01/06/2021,30/06/2021,3 061
1034BB,01/07/2021,31/07/2021,3 194
1034BB,01/08/2021,31/08/2021,3 193
1034BB,01/09/2021,30/09/2021,3 102
1034BB,01/10/2021,31/10/2021,3 180
1034BB,01/11/2021,30/11/2021,3 056
1032BB,01/01/2019,31/01/2019,1 983
1032BB,01/02/2019,28/02/2019,1 719
1032BB,01/03/2019,31/03/2019,1 886
1032BB,01/04/2019,30/04/2019,1 835
1032BB,01/05/2019,31/05/2019,1 899
1032BB,01/06/2019,30/06/2019,1 910
1032BB,01/07/2019,31/07/2019,1 961
1032BB,01/08/2019,31/08/2019,1 971
1032BB,01/09/2019,30/09/2019,1 852
1032BB,01/10/2019,31/10/2019,1 872
1032BB,01/11/2019,30/11/2019,1 735
1032BB,01/12/2019,31/12/2019,1 780
1032BB,01/01/2020,31/01/2020,1 780
1032BB,01/02/2020,29/02/2020,1 685
1032BB,01/03/2020,31/03/2020,1 812
1032BB,01/04/2020,30/04/2020,1 774
1032BB,01/05/2020,31/05/2020,1 845
1032BB,01/06/2020,30/06/2020,1 820
1032BB,01/07/2020,31/07/2020,1 908
1032BB,01/08/2020,31/08/2020,1 961
1032BB,01/09/2020,30/09/2020,1 896
1032BB,01/10/2020,31/10/2020,1 932
1032BB,01/11/2020,30/11/2020,1 822
1032BB,01/12/2020,31/12/2020,1 847
1032BB,01/01/2021,31/01/2021,1 869
1032BB,01/02/2021,28/02/2021,1 694
1032BB,01/03/2021,31/03/2021,1 876
1032BB,01/04/2021,30/04/2021,1 814
1032BB,01/05/2021,31/05/2021,1 928
1032BB,01/06/2021,30/06/2021,1 906
1032BB,01/07/2021,31/07/2021,2 095
1032BB,01/08/2021,31/08/2021,2 017
1032BB,01/09/2021,30/09/2021,2 057
1032BB,01/10/2021,31/10/2021,2 093
1032BB,01/11/2021,30/11/2021,2 003
1033BB,01/01/2019,31/01/2019,2 422
1033BB,01/02/2019,28/02/2019,2 199
1033BB,01/03/2019,31/03/2019,2 457
1033BB,01/04/2019,30/04/2019,2 409
1033BB,01/05/2019,31/05/2019,2 496
1033BB,01/06/2019,30/06/2019,2 435
1033BB,01/07/2019,31/07/2019,2 341
1033BB,01/08/2019,31/08/2019,2 458
1033BB,01/09/2019,30/09/2019,2 496
1033BB,01/10/2019,31/10/2019,2 577
1033BB,01/11/2019,30/11/2019,2 459
1033BB,01/12/2019,31/12/2019,2 520
1033BB,01/01/2020,31/01/2020,2 522
1033BB,01/02/2020,29/02/2020,2 365
1033BB,01/03/2020,31/03/2020,2 505
1033BB,01/04/2020,30/04/2020,2 491
1033BB,01/05/2020,31/05/2020,2 581
1033BB,01/06/2020,30/06/2020,2 525
1033BB,01/07/2020,31/07/2020,2 663
1033BB,01/08/2020,31/08/2020,2 716
1033BB,01/09/2020,30/09/2020,2 584
1033BB,01/10/2020,31/10/2020,2 652
1033BB,01/11/2020,30/11/2020,2 529
1033BB,01/12/2020,31/12/2020,2 613
1033BB,01/01/2021,31/01/2021,2 608
1033BB,01/02/2021,28/02/2021,2 382
1033BB,01/03/2021,31/03/2021,2 676
1033BB,01/04/2021,30/04/2021,2 592
1033BB,01/05/2021,31/05/2021,2 598
1033BB,01/06/2021,30/06/2021,2 585
1033BB,01/07/2021,31/07/2021,2 684
1033BB,01/08/2021,31/08/2021,2 652
1033BB,01/09/2021,30/09/2021,2 532
1033BB,01/10/2021,31/10/2021,2 586
1033BB,01/11/2021,30/11/2021,2 457
1006BB,01/01/2019,31/01/2019,2 195
1006BB,01/02/2019,28/02/2019,1 939
1006BB,01/03/2019,31/03/2019,2 186
1006BB,01/04/2019,30/04/2019,2 145
1006BB,01/05/2019,31/05/2019,2 226
1006BB,01/06/2019,30/06/2019,2 215
1006BB,01/07/2019,31/07/2019,2 275
1006BB,01/08/2019,31/08/2019,2 337
1006BB,01/09/2019,30/09/2019,2 211
1006BB,01/10/2019,31/10/2019,2 277
1006BB,01/11/2019,30/11/2019,2 185
1006BB,01/12/2019,31/12/2019,2 207
1006BB,01/01/2020,31/01/2020,2 262
1006BB,01/02/2020,29/02/2020,2 118
1006BB,01/03/2020,31/03/2020,2 268
1006BB,01/04/2020,30/04/2020,2 214
1006BB,01/05/2020,31/05/2020,2 271
1006BB,01/06/2020,30/06/2020,2 215
1006BB,01/07/2020,31/07/2020,2 188
1006BB,01/08/2020,31/08/2020,2 558
1006BB,01/09/2020,30/09/2020,2 425
1006BB,01/10/2020,31/10/2020,2 400
1006BB,01/11/2020,30/11/2020,2 316
1006BB,01/12/2020,31/12/2020,2 102
1006BB,01/01/2021,31/01/2021,2 495
1006BB,01/02/2021,28/02/2021,2 249
1006BB,01/03/2021,31/03/2021,2 438
1006BB,01/04/2021,30/04/2021,2 357
1006BB,01/05/2021,31/05/2021,2 439
1006BB,01/06/2021,30/06/2021,2 533
1006BB,01/07/2021,31/07/2021,2 636
1006BB,01/08/2021,31/08/2021,2 563
1006BB,01/09/2021,30/09/2021,2 399
1006BB,01/10/2021,31/10/2021,2 510
1006BB,01/11/2021,30/11/2021,3 167
1011BB,01/01/2019,31/01/2019,3 318
1011BB,01/02/2019,28/02/2019,3 021
1011BB,01/03/2019,31/03/2019,3 352
1011BB,01/04/2019,30/04/2019,3 256
1011BB,01/05/2019,31/05/2019,3 377
1011BB,01/06/2019,30/06/2019,3 363
1011BB,01/07/2019,31/07/2019,3 743
1011BB,01/08/2019,31/08/2019,3 896
1011BB,01/09/2019,30/09/2019,3 676
1011BB,01/10/2019,31/10/2019,3 805
1011BB,01/11/2019,30/11/2019,3 665
1011BB,01/12/2019,31/12/2019,3 781
1011BB,01/01/2020,31/01/2020,3 791
1011BB,01/02/2020,29/02/2020,3 544
1011BB,01/03/2020,31/03/2020,3 835
1011BB,01/04/2020,30/04/2020,3 757
1011BB,01/05/2020,31/05/2020,3 907
1011BB,01/06/2020,30/06/2020,3 839
1011BB,01/07/2020,31/07/2020,3 864
1011BB,01/08/2020,31/08/2020,3 891
1011BB,01/09/2020,30/09/2020,3 731
1011BB,01/10/2020,31/10/2020,3 814
1011BB,01/11/2020,30/11/2020,3 631
1011BB,01/12/2020,31/12/2020,3 741
1011BB,01/01/2021,31/01/2021,3 737
1011BB,01/02/2021,28/02/2021,3 366
1011BB,01/03/2021,31/03/2021,3 681
1011BB,01/04/2021,30/04/2021,3 566
1011BB,01/05/2021,31/05/2021,3 696
1011BB,01/06/2021,30/06/2021,3 654
1011BB,01/07/2021,31/07/2021,3 851
1011BB,01/08/2021,31/08/2021,3 825
1011BB,01/09/2021,30/09/2021,3 932
1011BB,01/10/2021,31/10/2021,4 048
1011BB,01/11/2021,30/11/2021,3 890
1015BB,01/01/2019,31/01/2019,1 329
1015BB,01/02/2019,28/02/2019,1 123
1015BB,01/03/2019,31/03/2019,1 210
1015BB,01/04/2019,30/04/2019,1 187
1015BB,01/05/2019,31/05/2019,1 234
1015BB,01/06/2019,30/06/2019,1 339
1015BB,01/07/2019,31/07/2019,1 350
1015BB,01/08/2019,31/08/2019,1 347
1015BB,01/09/2019,30/09/2019,1 153
1015BB,01/10/2019,31/10/2019,1 287
1015BB,01/11/2019,30/11/2019,1 459
