NAME,BEGIN,END,KWH_PERIOD
0254BB,01/07/2021,31/07/2021,1 461
0254BB,01/08/2021,31/08/2021,1 427
0254BB,01/09/2021,30/09/2021,1 336
0254BB,01/10/2021,31/10/2021,1 465
0254BB,01/11/2021,30/11/2021,1 396
0274BR,01/01/2019,31/01/2019,2 727
0274BR,01/02/2019,28/02/2019,2 312
0274BR,01/03/2019,31/03/2019,2 415
0274BR,01/04/2019,30/04/2019,2 335
0274BR,01/05/2019,31/05/2019,2 416
0274BR,01/06/2019,30/06/2019,2 364
0274BR,01/07/2019,31/07/2019,2 411
0274BR,01/08/2019,31/08/2019,2 543
0274BR,01/09/2019,30/09/2019,2 388
0274BR,01/10/2019,31/10/2019,2 433
0274BR,01/11/2019,30/11/2019,2 452
0274BR,01/12/2019,31/12/2019,2 514
0274BR,01/01/2020,31/01/2020,2 511
0274BR,01/02/2020,29/02/2020,2 371
0274BR,01/03/2020,31/03/2020,2 556
0274BR,01/04/2020,30/04/2020,2 582
0274BR,01/05/2020,31/05/2020,2 667
0274BR,01/06/2020,30/06/2020,2 616
0274BR,01/07/2020,31/07/2020,2 815
0274BR,01/08/2020,31/08/2020,2 842
0274BR,01/09/2020,30/09/2020,2 684
0274BR,01/10/2020,31/10/2020,2 721
0274BR,01/11/2020,30/11/2020,2 612
0274BR,01/12/2020,31/12/2020,2 683
0274BR,01/01/2021,31/01/2021,2 679
0274BR,01/02/2021,28/02/2021,2 442
0274BR,01/03/2021,31/03/2021,2 742
0274BR,01/04/2021,30/04/2021,2 666
0274BR,01/05/2021,31/05/2021,2 701
0274BR,01/06/2021,30/06/2021,3 206
0274BR,01/07/2021,31/07/2021,2 743
0274BR,01/08/2021,31/08/2021,2 379
0274BR,01/09/2021,30/09/2021,2 684
0274BR,01/10/2021,31/10/2021,2 699
0274BR,01/11/2021,30/11/2021,2 567
0356KO,01/01/2019,31/01/2019,876
0356KO,01/02/2019,28/02/2019,793
0356KO,01/03/2019,31/03/2019,885
0356KO,01/04/2019,30/04/2019,864
0356KO,01/05/2019,31/05/2019,894
0356KO,01/06/2019,30/06/2019,909
0356KO,01/07/2019,31/07/2019,929
0356KO,01/08/2019,31/08/2019,1 083
0356KO,01/09/2019,30/09/2019,1 759
0356KO,01/10/2019,31/10/2019,1 805
0356KO,01/11/2019,30/11/2019,1 733
0356KO,01/12/2019,31/12/2019,1 868
0356KO,01/01/2020,31/01/2020,1 918
0356KO,01/02/2020,29/02/2020,1 715
0356KO,01/03/2020,31/03/2020,1 822
0356KO,01/04/2020,30/04/2020,1 769
0356KO,01/05/2020,31/05/2020,2 022
0356KO,01/06/2020,30/06/2020,2 281
0356KO,01/07/2020,31/07/2020,2 378
0356KO,01/08/2020,31/08/2020,2 409
0356KO,01/09/2020,30/09/2020,2 318
